iter	Passed	Remaining
0	98	98759
1	172	85841
2	252	84020
3	335	83510
4	417	83089
5	497	82447
6	587	83353
7	669	82965
8	751	82793
9	831	82305
10	906	81490
11	971	80004
12	1032	78359
13	1084	76405
14	1136	74613
15	1189	73140
16	1264	73136
17	1353	73845
18	1461	75462
19	1580	77424
20	1664	77615
21	1741	77410
22	1814	77067
23	1903	77407
24	1985	77441
25	2062	77268
26	2148	77426
27	2228	77375
28	2311	77380
29	2393	77378
30	2474	77337
31	2567	77662
32	2650	77674
33	2728	77523
34	2806	77368
35	2899	77630
36	2974	77429
37	3048	77179
38	3126	77028
39	3205	76922
40	3277	76661
41	3351	76453
42	3425	76239
43	3507	76209
44	3595	76302
45	3671	76145
46	3746	75964
47	3824	75846
48	3914	75975
49	3985	75731
50	4055	75461
51	4128	75258
52	4201	75073
53	4269	74790
54	4333	74456
55	4392	74049
56	4454	73693
57	4533	73626
58	4616	73635
59	4686	73425
60	4757	73239
61	4833	73122
62	4910	73037
63	4967	72644
64	5030	72356
65	5081	71905
66	5132	71478
67	5189	71133
68	5250	70845
69	5314	70610
70	5386	70482
71	5460	70382
72	5531	70240
73	5613	70247
74	5686	70139
75	5759	70026
76	5830	69895
77	5910	69869
78	5974	69651
79	6032	69374
80	6084	69030
81	6136	68697
82	6187	68355
83	6236	68010
84	6281	67619
85	6328	67263
86	6379	66950
87	6430	66644
88	6482	66350
89	6535	66079
90	6582	65756
91	6626	65400
92	6672	65077
93	6716	64733
94	6760	64399
95	6808	64116
96	6857	63840
97	6901	63524
98	6942	63184
99	6987	62883
100	7027	62548
101	7071	62253
102	7115	61966
103	7156	61658
104	7203	61398
105	7244	61100
106	7287	60819
107	7328	60530
108	7367	60227
109	7410	59957
110	7451	59680
111	7489	59381
112	7537	59166
113	7581	58924
114	7624	58674
115	7666	58420
116	7707	58168
117	7751	57941
118	7791	57683
119	7844	57527
120	7885	57286
121	7931	57083
122	7971	56834
123	8013	56610
124	8054	56383
125	8096	56162
126	8136	55931
127	8181	55734
128	8220	55504
129	8268	55336
130	8313	55148
131	8353	54930
132	8397	54738
133	8437	54529
134	8481	54341
135	8527	54176
136	8567	53967
137	8611	53789
138	8653	53603
139	8697	53425
140	8739	53241
141	8781	53059
142	8832	52934
143	8877	52773
144	8922	52611
145	8964	52434
146	9007	52265
147	9050	52099
148	9095	51950
149	9142	51807
150	9200	51728
151	9263	51679
152	9328	51640
153	9388	51575
154	9452	51531
155	9513	51472
156	9574	51408
157	9623	51282
158	9670	51149
159	9717	51018
160	9762	50874
161	9821	50805
162	9888	50778
163	9951	50729
164	10013	50672
165	10078	50634
166	10147	50615
167	10207	50551
168	10263	50466
169	10315	50363
170	10364	50244
171	10413	50129
172	10475	50075
173	10546	50066
174	10610	50018
175	10679	50001
176	10757	50017
177	10842	50072
178	10920	50086
179	10986	50050
180	11071	50098
181	11157	50149
182	11238	50173
183	11320	50205
184	11398	50214
185	11462	50165
186	11537	50161
187	11620	50189
188	11702	50214
189	11783	50233
190	11870	50276
191	11943	50262
192	12020	50263
193	12096	50256
194	12162	50207
195	12219	50125
196	12276	50039
197	12332	49952
198	12408	49944
199	12484	49936
200	12568	49960
201	12642	49942
202	12705	49882
203	12760	49790
204	12815	49700
205	12870	49608
206	12922	49506
207	12977	49414
208	13044	49370
209	13121	49362
210	13196	49347
211	13277	49351
212	13353	49337
213	13411	49258
214	13461	49149
215	13526	49096
216	13581	49006
217	13626	48880
218	13673	48763
219	13723	48656
220	13768	48534
221	13818	48426
222	13861	48298
223	13908	48183
224	13953	48062
225	13994	47929
226	14039	47807
227	14079	47674
228	14123	47551
229	14168	47433
230	14210	47305
231	14253	47185
232	14294	47054
233	14339	46939
234	14381	46817
235	14423	46694
236	14468	46580
237	14514	46470
238	14557	46353
239	14598	46227
240	14638	46101
241	14681	45984
242	14720	45858
243	14760	45731
244	14805	45625
245	14845	45501
246	14887	45386
247	14928	45267
248	14967	45144
249	15008	45025
250	15049	44907
251	15091	44795
252	15131	44676
253	15171	44558
254	15214	44449
255	15254	44332
256	15297	44225
257	15337	44109
258	15379	44000
259	15420	43889
260	15463	43784
261	15510	43689
262	15552	43581
263	15595	43479
264	15636	43368
265	15677	43259
266	15719	43155
267	15758	43042
268	15804	42949
269	15846	42844
270	15885	42732
271	15926	42626
272	15967	42520
273	16009	42418
274	16049	42312
275	16090	42208
276	16132	42106
277	16172	42000
278	16211	41895
279	16252	41790
280	16293	41689
281	16331	41582
282	16373	41482
283	16413	41379
284	16455	41282
285	16501	41195
286	16541	41093
287	16581	40992
288	16623	40898
289	16664	40800
290	16709	40711
291	16749	40611
292	16798	40533
293	16880	40536
294	16922	40441
295	16964	40347
296	17007	40256
297	17048	40161
298	17090	40068
299	17130	39972
300	17172	39878
301	17215	39788
302	17257	39698
303	17296	39599
304	17336	39505
305	17377	39412
306	17420	39324
307	17463	39236
308	17509	39156
309	17549	39062
310	17589	38967
311	17629	38876
312	17672	38788
313	17711	38693
314	17757	38615
315	17804	38537
316	17844	38446
317	17888	38363
318	17930	38277
319	17973	38194
320	18017	38111
321	18059	38025
322	18101	37939
323	18141	37850
324	18180	37760
325	18221	37673
326	18259	37580
327	18301	37495
328	18340	37405
329	18380	37317
330	18421	37232
331	18466	37155
332	18513	37083
333	18555	36999
334	18596	36915
335	18637	36830
336	18678	36747
337	18721	36667
338	18766	36591
339	18808	36509
340	18849	36427
341	18888	36341
342	18931	36261
343	18971	36177
344	19011	36094
345	19057	36021
346	19100	35943
347	19139	35858
348	19181	35780
349	19219	35693
350	19261	35614
351	19300	35530
352	19337	35443
353	19378	35363
354	19422	35287
355	19469	35219
356	19511	35142
357	19554	35066
358	19593	34985
359	19633	34904
360	19676	34829
361	19715	34748
362	19763	34681
363	19807	34608
364	19848	34531
365	19889	34453
366	19930	34375
367	19972	34301
368	20011	34220
369	20050	34140
370	20093	34066
371	20130	33983
372	20169	33904
373	20212	33831
374	20251	33752
375	20292	33677
376	20330	33596
377	20370	33519
378	20410	33442
379	20450	33367
380	20496	33299
381	20539	33228
382	20578	33152
383	20621	33080
384	20665	33011
385	20712	32947
386	20763	32888
387	20813	32829
388	20857	32760
389	20896	32684
390	20937	32610
391	20976	32534
392	21013	32456
393	21055	32384
394	21093	32307
395	21138	32240
396	21177	32166
397	21219	32095
398	21259	32022
399	21299	31948
400	21340	31877
401	21379	31802
402	21419	31730
403	21467	31669
404	21507	31597
405	21548	31526
406	21590	31456
407	21631	31387
408	21674	31319
409	21716	31250
410	21759	31183
411	21806	31121
412	21847	31052
413	21887	30981
414	21930	30913
415	21969	30841
416	22009	30771
417	22051	30703
418	22093	30635
419	22133	30564
420	22173	30494
421	22214	30426
422	22255	30357
423	22300	30294
424	22339	30223
425	22379	30155
426	22418	30084
427	22464	30023
428	22505	29954
429	22545	29885
430	22583	29814
431	22627	29750
432	22666	29681
433	22706	29613
434	22753	29553
435	22800	29493
436	22843	29430
437	22884	29362
438	22924	29295
439	22967	29230
440	23007	29164
441	23050	29100
442	23091	29034
443	23129	28964
444	23172	28900
445	23212	28833
446	23254	28768
447	23294	28701
448	23333	28633
449	23375	28569
450	23414	28501
451	23461	28445
452	23512	28390
453	23553	28326
454	23595	28262
455	23636	28197
456	23679	28135
457	23725	28076
458	23772	28019
459	23812	27953
460	23855	27891
461	23896	27826
462	23938	27764
463	23978	27699
464	24023	27640
465	24061	27572
466	24102	27509
467	24145	27447
468	24188	27386
469	24230	27324
470	24268	27257
471	24309	27193
472	24347	27127
473	24386	27062
474	24427	26998
475	24477	26945
476	24517	26881
477	24557	26817
478	24595	26751
479	24633	26685
480	24670	26619
481	24707	26553
482	24755	26498
483	24794	26433
484	24837	26373
485	24875	26308
486	24916	26246
487	24959	26186
488	24999	26124
489	25039	26061
490	25080	26000
491	25119	25935
492	25157	25871
493	25198	25810
494	25236	25746
495	25277	25684
496	25315	25621
497	25351	25555
498	25392	25494
499	25435	25435
500	25478	25377
501	25519	25315
502	25559	25254
503	25599	25192
504	25637	25130
505	25678	25069
506	25724	25013
507	25767	24955
508	25808	24896
509	25850	24836
510	25888	24773
511	25929	24714
512	25968	24652
513	26011	24594
514	26051	24533
515	26089	24471
516	26132	24413
517	26171	24352
518	26212	24293
519	26250	24231
520	26287	24168
521	26326	24107
522	26365	24046
523	26406	23987
524	26452	23933
525	26493	23874
526	26532	23814
527	26575	23756
528	26614	23696
529	26655	23637
530	26695	23578
531	26745	23527
532	26788	23471
533	26827	23411
534	26865	23350
535	26906	23291
536	26944	23231
537	26985	23173
538	27027	23116
539	27064	23055
540	27107	22998
541	27145	22938
542	27183	22878
543	27228	22823
544	27265	22763
545	27306	22705
546	27345	22646
547	27387	22589
548	27428	22532
549	27471	22476
550	27512	22419
551	27553	22362
552	27595	22305
553	27640	22252
554	27680	22194
555	27726	22141
556	27773	22088
557	27810	22028
558	27846	21968
559	27887	21911
560	27925	21852
561	27969	21797
562	28009	21741
563	28049	21684
564	28091	21627
565	28130	21569
566	28171	21513
567	28211	21456
568	28252	21400
569	28293	21344
570	28332	21286
571	28371	21229
572	28416	21176
573	28457	21120
574	28500	21065
575	28539	21008
576	28579	20952
577	28625	20899
578	28666	20844
579	28712	20791
580	28755	20737
581	28794	20680
582	28835	20624
583	28876	20569
584	28918	20515
585	28955	20456
586	28999	20403
587	29041	20348
588	29080	20291
589	29119	20235
590	29160	20180
591	29197	20122
592	29237	20066
593	29284	20015
594	29324	19960
595	29366	19906
596	29409	19852
597	29450	19797
598	29491	19743
599	29533	19688
600	29574	19634
601	29612	19577
602	29652	19522
603	29696	19469
604	29741	19417
605	29783	19363
606	29827	19311
607	29867	19256
608	29909	19202
609	29948	19147
610	29990	19093
611	30031	19039
612	30069	18983
613	30109	18929
614	30147	18872
615	30187	18818
616	30229	18764
617	30267	18708
618	30307	18654
619	30346	18599
620	30387	18545
621	30437	18497
622	30477	18442
623	30513	18386
624	30554	18332
625	30592	18277
626	30632	18223
627	30671	18168
628	30713	18115
629	30757	18064
630	30796	18009
631	30838	17956
632	30877	17902
633	30918	17849
634	30959	17795
635	30998	17741
636	31036	17686
637	31075	17632
638	31112	17576
639	31154	17524
640	31194	17471
641	31235	17417
642	31276	17364
643	31316	17311
644	31356	17258
645	31397	17205
646	31437	17152
647	31477	17098
648	31517	17045
649	31556	16992
650	31599	16940
651	31639	16887
652	31679	16834
653	31725	16784
654	31766	16731
655	31807	16679
656	31848	16627
657	31886	16573
658	31923	16519
659	31963	16466
660	32002	16412
661	32041	16359
662	32079	16305
663	32117	16252
664	32154	16198
665	32196	16146
666	32238	16095
667	32277	16042
668	32318	15990
669	32360	15938
670	32405	15888
671	32449	15838
672	32487	15784
673	32527	15732
674	32567	15680
675	32606	15627
676	32645	15575
677	32685	15523
678	32730	15473
679	32767	15420
680	32809	15369
681	32850	15317
682	32893	15266
683	32933	15214
684	32973	15162
685	33013	15111
686	33052	15058
687	33083	15002
688	33121	14950
689	33160	14898
690	33201	14847
691	33242	14795
692	33281	14743
693	33322	14692
694	33361	14640
695	33405	14591
696	33449	14540
697	33489	14489
698	33529	14438
699	33564	14384
700	33605	14333
701	33646	14283
702	33689	14233
703	33732	14182
704	33775	14132
705	33813	14080
706	33857	14031
707	33896	13979
708	33939	13929
709	33981	13879
710	34020	13828
711	34062	13777
712	34104	13727
713	34143	13676
714	34185	13626
715	34223	13574
716	34260	13522
717	34303	13472
718	34343	13421
719	34385	13371
720	34427	13322
721	34465	13270
722	34505	13219
723	34543	13168
724	34585	13118
725	34625	13067
726	34661	13016
727	34708	12968
728	34750	12918
729	34791	12868
730	34824	12815
731	34864	12764
732	34903	12713
733	34943	12663
734	34984	12613
735	35027	12564
736	35067	12513
737	35105	12462
738	35148	12413
739	35187	12363
740	35224	12312
741	35264	12261
742	35304	12211
743	35347	12162
744	35390	12113
745	35433	12064
746	35472	12014
747	35513	11964
748	35557	11915
749	35597	11865
750	35635	11815
751	35682	11767
752	35765	11731
753	35806	11682
754	35847	11632
755	35889	11583
756	35928	11533
757	35968	11483
758	36012	11434
759	36052	11384
760	36092	11335
761	36134	11286
762	36173	11235
763	36213	11186
764	36250	11135
765	36289	11085
766	36333	11037
767	36376	10988
768	36419	10939
769	36459	10890
770	36500	10841
771	36542	10792
772	36582	10742
773	36621	10693
774	36661	10643
775	36707	10595
776	36745	10546
777	36785	10496
778	36826	10447
779	36867	10398
780	36909	10349
781	36951	10300
782	36991	10251
783	37031	10202
784	37075	10154
785	37114	10104
786	37155	10056
787	37187	10004
788	37220	9953
789	37258	9904
790	37297	9854
791	37337	9805
792	37382	9758
793	37428	9710
794	37466	9661
795	37507	9612
796	37545	9563
797	37586	9514
798	37627	9465
799	37665	9416
800	37774	9384
801	37829	9339
802	37870	9290
803	37911	9242
804	37956	9194
805	37995	9145
806	38037	9096
807	38074	9047
808	38116	8999
809	38157	8950
810	38194	8901
811	38234	8852
812	38275	8803
813	38313	8754
814	38355	8706
815	38404	8659
816	38445	8611
817	38487	8563
818	38527	8514
819	38570	8466
820	38609	8417
821	38650	8369
822	38696	8322
823	38735	8273
824	38766	8223
825	38806	8174
826	38847	8126
827	38884	8077
